inputdepth, inputx, inputy, tilt, horz_rot, vert_rot, calc_tilt, depth2d, depthpers, depthman, x2d, xpers, xman, y2d, ypers, yman, range2d, rangepers, rangeman, hor2d, horpers, horman, vert2d, vertpers, vertman
1,0,0,0,0,0,2.634450,1.075174,1.121726,1.121726,-0.005303,0.011470,-0.069476,-0.074239,-0.062646,-0.032551,1.092790,1.133387,1.129968,3.961138,27.752712,-33.980805,0.000000,-8.893252,-11.286805
2,0,0,0,0,0,7.581331,2.217727,2.212945,2.212945,0.112113,-0.091082,-0.051176,-0.123051,-0.094877,-0.042530,2.231034,2.221284,2.216482,13.778376,-21.824438,27.328706,0.000000,34.929453,43.610505
3,0,0,0,0,0,1.823412,3.467973,3.392669,3.392669,0.143246,-0.110991,-0.100095,-0.186006,-0.144122,-0.064195,3.480615,3.400435,3.396405,1.440468,-0.000000,0.000000,0.000000,0.000000,-0.000000
4,0,0,0,0,0,1.138455,4.467484,4.848689,4.848689,0.170761,-0.143791,-0.154256,-0.236862,-0.213367,-0.097330,4.480533,4.857922,4.853496,13.862808,4.978799,-48.328796,0.000000,-79.151627,-81.506900
5,0,0,0,0,0,0.000000,5.654116,6.135076,6.135077,0.202174,-0.188436,-0.190274,-0.299776,-0.254726,-0.111634,5.668345,6.145057,6.140072,19.291458,-80.886893,80.667842,0.000000,-40.756776,34.219801
6,0,0,0,0,0,-0.349295,6.788705,7.421463,7.421464,0.221818,-0.200032,-0.251255,-0.364116,-0.320824,-0.144624,6.804463,7.432731,7.428062,7.056563,-72.409212,74.987217,0.000000,-78.199864,-82.743707
7,0,0,0,0,0,0.953519,7.991131,7.916227,7.916228,0.285739,-0.224190,-0.259831,-0.418755,-0.328554,-0.143950,8.009227,7.927478,7.922521,0.000000,-0.000000,-0.000000,9.744118,-0.000000,-0.000000
8,0,0,0,0,0,1.954607,4.045327,10.390048,10.390049,0.157118,-0.287002,-0.346502,-0.209491,-0.458043,-0.209189,4.056698,10.408656,10.400534,40.495714,74.976642,-81.995123,0.000000,-82.375452,-82.261479
1,0,0.1524,0,0,0,5.613436,1.084726,1.093454,1.093454,0.051493,-0.037017,-0.031321,0.088273,0.070980,0.068007,1.104354,1.105797,1.101404,4.849343,18.421157,-23.309426,0.000000,6.433673,8.310737
2,0,0.1524,0,0,0,4.415008,2.229904,2.320894,2.320894,0.076985,-0.066097,-0.075899,0.032994,0.029412,0.052769,2.238704,2.326744,2.325428,8.410841,-21.670712,27.209739,0.000000,33.015699,41.496517
3,0,0.1524,0,0,0,2.780549,3.397283,3.534030,3.534030,0.108910,-0.085038,-0.127361,-0.020944,-0.020983,0.030675,3.403874,3.538235,3.538236,6.243879,46.582857,-55.303357,0.000000,-59.854836,-64.538118
4,0,0.1524,0,0,0,3.705746,4.467501,4.749736,4.749737,0.170761,-0.143791,-0.148891,-0.071610,-0.060299,0.016983,4.474867,4.754652,4.753445,13.502221,0.000000,0.000000,0.000000,0.000000,-0.000000
5,0,0.1524,0,0,0,-0.681578,5.711050,6.431935,6.431935,0.190127,-0.159446,-0.228265,-0.130272,-0.109196,0.002196,5.718522,6.436822,6.437117,0.000000,75.962138,-77.580028,13.420682,80.191094,80.035561
6,0,0.1524,0,0,0,0.841615,6.800000,7.421463,7.421464,0.226379,-0.203897,-0.248335,-0.188649,-0.156546,-0.020543,6.808681,7.427476,7.426537,15.050313,-76.843259,76.681631,0.000000,78.390841,83.075924
7,0,0.1524,0,0,0,1.907037,7.727273,7.916227,7.916228,0.257249,-0.208729,-0.271509,-0.247721,-0.200998,-0.047604,7.737555,7.922837,7.921772,14.165804,0.000000,-0.000000,0.000000,0.000000,0.000000
1,0,0.2794,0,0,0,5.231273,1.077868,1.147799,1.147799,0.027245,-0.018143,-0.048522,0.206661,0.177163,0.148925,1.112107,1.171181,1.163975,11.517308,20.134029,-25.199395,0.000000,22.919607,28.451605
2,0,0.2794,0,0,0,4.117105,2.201119,2.374868,2.374868,0.065136,-0.055661,-0.086708,0.153340,0.131035,0.130238,2.214582,2.383995,2.382790,12.612376,-0.000000,-0.000000,0.000000,0.000000,0.000000
3,0,0.2794,0,0,0,3.922205,3.389172,3.392669,3.392669,0.112829,-0.089455,-0.116361,0.104471,0.082829,0.107225,3.397432,3.397859,3.398068,7.389594,0.000000,-0.000000,0.000000,0.000000,-0.000000
4,0,0.2794,0,0,0,2.953733,4.515456,5.046595,5.046595,0.153108,-0.143211,-0.165423,0.044540,0.034788,0.092712,4.521802,5.051206,5.051559,0.000000,-67.921384,74.428132,17.170006,-71.826504,-78.171764
5,0,0.2794,0,0,0,4.627203,5.654116,5.937171,5.937171,0.195203,-0.162345,-0.199252,-0.006972,-0.005798,0.073781,5.660368,5.941290,5.942054,5.421183,-0.000000,-0.000000,0.000000,0.000000,-0.000000
