inputdepth, inputx, inputy, tilt, horz_rot, vert_rot, calc_tilt, depth2d, depthpers, depthman, x2d, xpers, xman, y2d, ypers, yman, range2d, rangepers, rangeman, hor2d, horpers, horman, vert2d, vertpers, vertman
3,1.5,0,0,0,0,2.081473,3.327018,4.170156,4.170156,1.618323,-1.632556,1.007025,-0.108709,-0.094977,-0.016840,3.705126,4.482481,4.292030,9.596784,-61.796692,70.069237,0.000000,55.141614,65.452758
4,1.5,0,0,0,0,1.834121,4.470590,4.749736,4.749737,1.683989,-1.417036,0.812817,-0.165367,-0.139152,-0.042577,4.783205,4.960748,4.820301,8.298989,0.000000,0.000000,0.000000,0.000000,0.000000
5,1.5,0,0,0,0,2.285737,5.575365,5.640312,5.640312,1.701420,-1.356736,0.718990,-0.219982,-0.172201,-0.055815,5.835975,5.805477,5.687261,0.000000,-66.658796,-4.184015,10.448896,-3.536928,74.037975
6,1.5,0,0,0,0,1.941292,6.789570,7.421463,7.421464,1.820810,-1.567398,0.781545,-0.280447,-0.236752,-0.081124,7.037278,7.590410,7.463857,6.997350,-77.924510,72.967583,0.000000,-68.491796,64.757844
7,1.5,0,0,0,0,0.000000,7.982281,7.916227,7.916228,1.899535,-1.492023,0.697790,-0.344475,-0.270574,-0.100157,8.214263,8.061329,7.948249,0.000000,-0.000000,0.000000,20.347351,-0.000000,0.000000
3,1.5,0.1524,0,0,0,4.954505,3.228639,3.675391,3.675391,1.560517,-1.417201,0.871186,0.069666,0.063778,0.096558,3.590588,3.942700,3.780364,0.000000,-49.373430,59.251389,13.875218,5.593051,8.042679
4,1.5,0.1524,0,0,0,4.192301,4.424768,4.749736,4.749737,1.647633,-1.400801,0.800554,0.013639,0.011596,0.071287,4.724713,4.954223,4.818605,0.000000,0.000000,-0.000000,15.652769,-0.000000,-0.000000
5,1.5,0.1524,0,0,0,3.500634,5.448919,6.629840,6.629841,1.686348,-1.597740,0.847380,-0.053748,-0.056821,0.044361,5.706578,6.821758,6.685048,0.000000,-81.578032,86.134162,33.436200,68.143478,80.396953
6,1.5,0.1524,0,0,0,2.698863,6.529504,7.916227,7.916228,1.702761,-1.635041,0.805814,-0.104661,-0.100499,0.028305,6.750886,8.085661,7.958202,16.877560,0.000000,0.000000,0.000000,0.000000,0.000000
7,1.5,0.1524,0,0,0,2.852180,7.955966,8.905756,8.905756,1.834415,-1.640839,0.756548,-0.171670,-0.160412,-0.003922,8.168437,9.058419,8.938626,0.000000,-73.909122,81.266764,11.116728,-72.860946,-80.512985
3,1.5,0.2794,0,0,0,3.584392,3.192592,3.873297,3.873297,1.545063,-1.501852,0.924395,0.186982,0.185868,0.191380,3.555649,4.161634,3.988688,0.000000,-54.698846,63.824678,16.649957,42.694618,53.606194
4,1.5,0.2794,0,0,0,5.365178,4.337825,4.650784,4.650784,1.633978,-1.378962,0.789423,0.139062,0.111708,0.145601,4.640642,4.854473,4.720939,0.000000,-72.508424,78.416089,13.071214,-58.090695,-64.472852
5,1.5,0.2794,0,0,0,3.264903,5.641703,6.431935,6.431935,1.732099,-1.574162,0.840300,0.069562,0.056048,0.127007,5.904603,6.623903,6.488974,8.113648,-67.039773,75.458199,0.000000,-63.897499,-72.881875
6,1.5,0.2794,0,0,0,0.000000,6.666667,8.410992,8.410992,1.734420,-1.705584,0.832274,0.016440,0.022226,0.127514,6.890807,8.583963,8.454069,0.000000,-80.539178,84.612899,19.448648,44.854757,80.305490
7,1.5,0.2794,0,0,0,-2.381167,7.733629,8.410992,8.410992,1.759312,-1.506518,0.681916,-0.061981,-0.067644,0.059634,7.933291,8.546392,8.439553,0.000000,-78.124873,84.140136,30.089800,-79.798110,-84.724142
3,1.5,0,0,30,0,6.280283,2.984198,4.212564,4.212564,1.504922,-1.703126,1.058029,-0.103026,-0.109776,-0.027459,3.347674,4.548897,4.345865,0.000000,-55.444475,64.651277,28.041255,34.504256,45.618550
4,1.5,0,0,30,0,8.899445,4.293229,4.353925,4.353925,1.670115,-1.352098,0.785226,-0.137632,-0.108616,-0.024723,4.611883,4.562468,4.425540,0.000000,-58.724515,67.883837,14.822716,12.652079,18.551508
5,1.5,0,0,30,0,4.627203,5.654116,5.343453,5.343454,1.798653,-1.358476,0.736398,-0.216117,-0.160605,-0.050964,5.939827,5.517351,5.395145,5.421183,-66.458349,74.584336,0.000000,8.699870,13.591780
7,1.5,0,0,30,0,0.841615,6.800000,6.926699,6.926699,1.819415,-1.484293,0.745597,-0.306031,-0.246416,-0.094936,7.047972,7.089604,6.968174,15.050313,-71.834042,79.041645,0.000000,0.000000,-0.000000
7,1.5,0,0,30,0,4.504252,7.695538,8.905756,8.905756,1.878743,-1.719112,0.815669,-0.379544,-0.315992,-0.121435,7.932541,9.077024,8.944658,15.069830,-73.671063,-88.258951,0.000000,-88.881084,89.883894
